acousticness,analysis_url,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist_name,track_name,popularity,bbhot,artist_popularity,artist_followers
0.194,https://api.spotify.com/v1/audio-analysis/5Cg98kiDYtCEHmjcKD0CJD,0.773,211200,0.602,5Cg98kiDYtCEHmjcKD0CJD,0.000443,10,0.141,-6.384,1,0.108,74.896,4,https://api.spotify.com/v1/tracks/5Cg98kiDYtCEHmjcKD0CJD,audio_features,spotify:track:5Cg98kiDYtCEHmjcKD0CJD,0.442,Lil Skies,I Know You (feat. Yung Pinch),73,0,86,2551634
0.337,https://api.spotify.com/v1/audio-analysis/5VuxWXbt7XENQCtE9TzpTv,0.669,194560,0.675,5VuxWXbt7XENQCtE9TzpTv,1.50E-05,1,0.109,-2.869,1,0.0337,160.911,4,https://api.spotify.com/v1/tracks/5VuxWXbt7XENQCtE9TzpTv,audio_features,spotify:track:5VuxWXbt7XENQCtE9TzpTv,0.262,Post Malone,Spoil My Night (feat. Swae Lee),79,0,96,13573521
0.0329,https://api.spotify.com/v1/audio-analysis/1BuTNbYxxFYezD1tT8AJR9,0.741,169380,0.863,1BuTNbYxxFYezD1tT8AJR9,1.16E-06,1,0.0669,-4.049,1,0.0527,99.981,4,https://api.spotify.com/v1/tracks/1BuTNbYxxFYezD1tT8AJR9,audio_features,spotify:track:1BuTNbYxxFYezD1tT8AJR9,0.864,Enrique Iglesias,MOVE TO MIAMI,70,0,80,8301798
0.0952,https://api.spotify.com/v1/audio-analysis/0pMfPzdRiPAoSM9yWF4OcT,0.611,198453,0.555,0pMfPzdRiPAoSM9yWF4OcT,0,6,0.11,-6.372,0,0.0274,88.969,4,https://api.spotify.com/v1/tracks/0pMfPzdRiPAoSM9yWF4OcT,audio_features,spotify:track:0pMfPzdRiPAoSM9yWF4OcT,0.413,Kacey Musgraves,Golden Hour,72,0,78,494930
0.0397,https://api.spotify.com/v1/audio-analysis/1CwNogTShsnsn1C8UhRmYX,0.546,203475,0.645,1CwNogTShsnsn1C8UhRmYX,0,11,0.107,-6.4,1,0.0527,101.578,4,https://api.spotify.com/v1/tracks/1CwNogTShsnsn1C8UhRmYX,audio_features,spotify:track:1CwNogTShsnsn1C8UhRmYX,0.457,Katy Perry,Rise,67,1,85,12833238
0.903,https://api.spotify.com/v1/audio-analysis/1wtrm5eTeRfEXyJNF4Low1,0.656,121905,0.295,1wtrm5eTeRfEXyJNF4Low1,0.444,9,0.123,-15.808,0,0.0477,125.992,4,https://api.spotify.com/v1/tracks/1wtrm5eTeRfEXyJNF4Low1,audio_features,spotify:track:1wtrm5eTeRfEXyJNF4Low1,0.261,j'san,when the leaves come falling down,65,0,68,22424
0.616,https://api.spotify.com/v1/audio-analysis/7EoSDrwBPUBeBEORrpvgko,0.816,138936,0.245,7EoSDrwBPUBeBEORrpvgko,0.000813,0,0.127,-15.617,0,0.414,140.04,4,https://api.spotify.com/v1/tracks/7EoSDrwBPUBeBEORrpvgko,audio_features,spotify:track:7EoSDrwBPUBeBEORrpvgko,0.187,Ugly God,Water,63,1,67,1464744
0.0266,https://api.spotify.com/v1/audio-analysis/4eiRksMFmG0S1C9nGYuNhk,0.51,228813,0.752,4eiRksMFmG0S1C9nGYuNhk,0,2,0.308,-3.168,1,0.0318,139.002,4,https://api.spotify.com/v1/tracks/4eiRksMFmG0S1C9nGYuNhk,audio_features,spotify:track:4eiRksMFmG0S1C9nGYuNhk,0.699,Walker McGuire,Lost,53,1,58,17987
0.361,https://api.spotify.com/v1/audio-analysis/1L6vtkHvjKWBIym93FmSPP,0.658,122252,0.519,1L6vtkHvjKWBIym93FmSPP,0.798,6,0.36,-13.727,0,0.0727,173.675,4,https://api.spotify.com/v1/tracks/1L6vtkHvjKWBIym93FmSPP,audio_features,spotify:track:1L6vtkHvjKWBIym93FmSPP,0.682,Saib,Smooth,52,1,60,36670
0.0941,https://api.spotify.com/v1/audio-analysis/1dnJkyBbi3gDPoT1IFYR9j,0.728,161573,0.652,1dnJkyBbi3gDPoT1IFYR9j,3.56E-06,2,0.112,-3.157,1,0.0298,104.976,4,https://api.spotify.com/v1/tracks/1dnJkyBbi3gDPoT1IFYR9j,audio_features,spotify:track:1dnJkyBbi3gDPoT1IFYR9j,0.435,Kidz Bop Kids,Havana,58,1,71,326150
